v;t
0.86;75.55
0.85;75.96
1.04;76.37
1.04;76.79
-7.99;77.2
1.16;77.61
1.17;78.03
1.16;78.44
1.21;78.86
1.12;79.27
1.14;79.69
1.08;80.1
0.95;80.52
0.76;80.93
0.41;81.34
0.34;81.76
0.46;82.17
0.57;82.59
1.11;83.0
1.57;83.42
1.7;83.83
1.77;84.24
2.03;84.66
2.0;85.07
2.28;85.49
2.24;85.9
2.5;86.32
2.48;86.73
2.44;87.14
2.21;87.56
1.72;87.97
1.49;88.39
1.33;88.81
1.15;89.22
0.94;89.63
1.06;90.05
1.18;90.46
1.05;90.88
1.04;91.29
0.8;91.7
0.62;92.12
0.56;92.53
0.71;92.95
0.74;93.36
0.84;93.78
0.97;94.19
1.07;94.61
1.33;95.02
1.46;95.43
1.51;95.85
1.73;96.26
2.22;96.68
2.43;97.09
2.69;97.5
2.54;97.92
2.37;98.33
2.21;98.75
2.01;99.16
1.83;99.58
1.62;99.99
1.28;100.4
1.22;100.82
1.21;101.2
1.06;101.6
0.92;102.0
0.79;102.48
0.42;102.89
0.16;103.0
0.5;103.0
0.83;104.1
-1.07;104.0
-1.17;104.0
-1.11;105.0
0.98;105.7
0.92;106.0
-1.02;106.0
-1.12;107.0
-1.03;107.45
0.97;107.8
0.9;108.0
0.94;108.0
0.99;109.0
-1.02;109.5
0.96;109.0
0.95;110.0
-1.04;110.0
-1.05;111.0
-1.08;111.6
-1.11;112.0
-1.14;112.0
-1.2;112.84
-1.18;113.0
-1.27;113.0
-1.32;114.0
-1.09;114.5
0.99;114.0
0.93;115.0
0.81;115.0
0.62;116.0
0.34;116.5
0.15;116.99
0.25;117.41
0.28;117.82
0.3;118.2
0.05;118.0
0.24;119.0
0.37;119.48
0.68;119.8
0.84;120.3
0.96;120.0
-1.15;121.0
-1.43;121.0
-1.64;121.0
-1.67;122.0
-1.71;122.7
-1.35;123.0
-1.16;123.0
-1.03;124.0
0.86;124.4
0.71;124.0
0.6;125.0
0.59;125.0
0.59;126.0
0.6;126.0
0.72;126.9
0.83;127.3
0.86;127.0
0.88;128.0
0.95;128.0
0.99;129.0
-1.02;129.4
-1.03;129.0
-1.03;130.0
0.96;130.0
0.97;131.0
0.87;131.0
0.79;131.0
0.78;132.0
0.74;132.0
0.67;133.1
0.45;133.5
0.23;133.0
0.08;134.0
0.04;134.8
0.04;135.0
0.09;135.6
0.2;136.0
0.28;136.4
0.08;136.88
0.03;137.29
0.01;137.7
0.0;138.12
0.0;138.53
0.0;138.95
0.0;139.37
0.02;139.78
0.01;140.1
0.05;140.61
0.02;141.02
0.02;141.44
0.01;141.85
0.02;142.27
0.02;142.6
0.01;143.1
0.0;143.5
0.0;143.93
0.0;144.34
0.0;144.75
0.0;145.1
0.0;145.5
0.0;145.9
0.0;146.4
0.0;146.8
0.0;147.2
0.0;147.6
0.0;148.0
0.0;148.4
0.0;148.9
0.0;149.3
0.0;149.7
0.0;150.1
0.0;150.5
0.0;150.9
0.0;151.3
0.0;151.8
0.0;152.2
0.0;152.6
0.0;153.0
0.0;153.4
0.0;153.8
